OrderItemID,OrderID,ProductID,Quantity,UnitPrice
1,1,114,5,955.67
2,1,96,5,508.6
3,1,134,2,782.19
4,1,184,10,68.83
5,2,2,4,988.87
6,2,123,9,210.08
7,2,18,2,367.5
8,3,1,6,236.24
9,4,73,1,846.6
10,4,130,6,199.13
11,4,17,1,448.45
12,5,81,7,932.74
13,5,24,4,894.62
14,6,30,5,428.44
15,6,26,1,751.65
16,6,71,5,513.98
17,7,63,3,472.33
18,7,121,5,667.22
19,7,102,5,611.41
20,7,188,1,715.03
21,8,98,1,269.2
22,8,31,5,9.79
23,8,162,9,822.86
24,8,102,4,611.41
25,9,92,4,356.89
26,9,109,5,721.46
27,10,177,4,862.85
28,10,76,1,604.39
29,11,21,3,785.46
30,11,69,10,616.21
31,11,20,7,41.15
32,11,174,7,96.84
33,12,60,2,606.98
34,13,51,9,162.0
35,14,40,8,903.47
36,14,43,2,381.51
37,14,200,7,114.23
38,15,10,4,735.11
39,15,51,9,162.0
40,15,123,10,210.08
41,16,163,7,322.32
42,16,122,8,736.6
43,16,173,10,314.35
44,16,63,10,472.33
45,16,24,10,894.62
46,17,159,7,821.32
47,17,84,2,648.64
48,18,149,8,785.6
49,18,148,1,335.24
50,18,97,9,773.42
51,19,103,10,7.28
52,19,118,6,125.81
53,19,40,7,903.47
54,20,119,5,367.8
55,20,145,3,821.26
56,20,152,4,346.74
57,21,99,6,349.46
58,21,177,2,862.85
59,21,111,8,164.65
60,21,45,7,354.66
61,21,116,8,320.66
62,22,186,3,188.47
63,22,49,6,468.57
64,22,41,1,759.31
65,22,63,5,472.33
66,23,15,4,832.74
67,23,100,6,100.68
68,24,126,4,195.43
69,24,138,6,652.29
70,25,116,7,320.66
71,25,93,2,580.85
72,25,42,9,165.44
73,26,70,4,404.52
74,27,174,3,96.84
75,27,55,3,744.05
76,27,40,3,903.47
77,27,17,2,448.45
78,27,158,2,896.13
79,28,17,7,448.45
80,29,119,3,367.8
81,29,137,1,374.73
82,29,18,6,367.5
83,29,105,5,379.54
84,30,69,2,616.21
85,30,126,1,195.43
86,30,4,5,550.85
87,30,49,5,468.57
88,30,197,10,427.16
89,31,23,5,645.3
90,31,121,6,667.22
91,31,39,10,481.68
92,32,28,7,459.87
93,33,80,6,69.82
94,33,30,2,428.44
95,34,154,4,634.1
96,34,127,8,147.2
97,34,7,2,228.8
98,35,131,6,327.0
99,36,102,10,611.41
100,37,134,4,782.19
101,37,127,10,147.2
102,38,44,10,207.68
103,39,137,4,374.73
104,39,114,5,955.67
105,39,26,9,751.65
106,39,157,7,395.61
107,40,129,6,322.1
108,40,123,3,210.08
109,40,27,4,985.11
110,40,36,6,426.42
111,41,60,5,606.98
112,41,195,2,528.06
113,41,59,9,976.26
114,42,90,7,219.62
115,43,194,8,6.08
116,43,192,1,204.39
117,43,84,3,648.64
118,43,191,6,43.37
119,43,190,3,695.66
120,44,55,8,744.05
121,44,111,9,164.65
122,45,149,1,785.6
123,45,2,10,988.87
124,45,159,4,821.32
125,45,191,8,43.37
126,46,112,5,667.03
127,47,109,2,721.46
128,47,161,2,255.58
129,47,140,3,166.36
130,48,194,2,6.08
131,48,142,5,937.88
132,48,20,4,41.15
133,48,110,4,355.87
134,48,95,10,954.85
135,49,150,1,477.81
136,49,33,5,93.85
137,49,153,2,802.81
138,50,96,10,508.6
139,50,67,6,814.99
140,50,128,3,276.02
141,50,33,6,93.85
142,51,6,4,413.7
143,52,145,7,821.26
144,52,41,1,759.31
145,52,186,1,188.47
146,53,132,1,890.13
147,53,113,9,195.31
148,54,138,3,652.29
149,54,17,7,448.45
150,54,149,9,785.6
151,55,77,7,584.03
152,55,129,6,322.1
153,56,199,7,791.24
154,56,152,10,346.74
155,56,67,5,814.99
156,56,81,6,932.74
157,57,184,2,68.83
158,57,67,8,814.99
159,57,40,6,903.47
160,58,109,8,721.46
161,58,152,1,346.74
162,58,148,4,335.24
163,59,40,2,903.47
164,59,12,7,47.96
165,59,44,6,207.68
166,60,168,8,74.04
167,60,77,1,584.03
168,61,30,1,428.44
169,62,127,2,147.2
170,62,104,10,858.56
171,62,195,6,528.06
172,63,148,9,335.24
173,64,25,5,508.5
174,64,75,4,77.1
175,64,179,8,206.32
176,64,162,2,822.86
177,65,87,9,153.84
178,65,46,7,677.06
179,66,66,9,33.24
180,67,184,2,68.83
181,67,179,9,206.32
182,67,199,6,791.24
183,67,43,2,381.51
184,68,120,6,604.85
185,68,178,4,600.16
186,68,200,1,114.23
187,68,114,5,955.67
188,68,100,4,100.68
189,69,13,6,617.84
190,70,110,4,355.87
191,70,121,10,667.22
192,70,53,7,228.66
193,71,96,7,508.6
194,71,113,9,195.31
195,71,183,3,574.87
196,72,123,9,210.08
197,72,21,2,785.46
198,73,114,6,955.67
199,73,182,3,155.31
200,73,180,6,737.16
201,73,11,2,166.61
202,74,46,1,677.06
203,74,62,7,77.5
204,74,92,10,356.89
205,75,69,9,616.21
206,75,155,3,953.83
207,76,141,4,559.43
208,76,98,8,269.2
209,77,1,6,236.24
210,77,155,10,953.83
211,77,177,1,862.85
212,78,194,3,6.08
213,78,73,8,846.6
214,79,11,2,166.61
215,80,164,2,293.92
216,81,184,6,68.83
217,81,61,3,198.01
218,81,78,2,692.61
219,81,51,7,162.0
220,82,117,8,774.6
221,82,148,5,335.24
222,82,192,10,204.39
223,82,193,4,633.23
224,82,16,9,285.17
225,83,82,7,396.82
226,83,149,5,785.6
227,83,155,8,953.83
228,83,92,6,356.89
229,84,78,7,692.61
230,84,107,10,959.54
231,85,21,8,785.46
232,86,148,7,335.24
233,87,13,10,617.84
234,87,53,1,228.66
235,87,57,7,631.4
236,87,111,7,164.65
237,88,172,3,197.09
238,88,48,1,252.97
239,88,145,4,821.26
240,88,95,2,954.85
241,88,189,3,751.1
242,89,149,9,785.6
243,89,15,5,832.74
244,89,190,9,695.66
245,89,105,3,379.54
246,90,161,9,255.58
247,90,48,2,252.97
248,90,180,3,737.16
249,90,81,1,932.74
250,91,183,9,574.87
251,91,109,8,721.46
252,91,53,2,228.66
253,91,143,10,402.99
254,92,9,1,317.79
255,92,129,1,322.1
256,93,109,7,721.46
257,94,81,7,932.74
258,94,63,2,472.33
259,94,38,5,325.93
260,95,188,4,715.03
261,95,94,10,875.57
262,95,166,9,239.52
263,95,108,9,785.72
264,96,141,4,559.43
265,96,1,8,236.24
266,96,5,10,170.06
267,97,83,3,147.98
268,97,116,8,320.66
269,97,181,4,375.94
270,97,170,6,350.69
271,97,18,2,367.5
272,98,36,1,426.42
273,98,108,7,785.72
274,98,145,5,821.26
275,98,121,10,667.22
276,98,168,1,74.04
277,99,195,6,528.06
278,100,24,4,894.62
279,100,158,8,896.13
280,100,84,4,648.64
281,100,164,8,293.92
282,101,36,8,426.42
283,102,67,7,814.99
284,102,102,9,611.41
285,102,1,9,236.24
286,102,8,6,761.8
287,103,129,2,322.1
288,103,99,5,349.46
289,103,166,7,239.52
290,103,198,5,206.13
291,103,160,2,813.18
292,104,161,7,255.58
293,105,195,3,528.06
294,106,30,7,428.44
295,106,31,5,9.79
296,106,75,2,77.1
297,106,107,6,959.54
298,106,167,4,344.26
299,107,78,2,692.61
300,108,165,6,572.48
301,108,107,3,959.54
302,108,118,7,125.81
303,108,200,5,114.23
304,108,51,3,162.0
305,109,16,3,285.17
306,110,102,3,611.41
307,110,134,8,782.19
308,111,89,7,808.7
309,111,88,9,488.87
310,111,114,1,955.67
311,112,186,4,188.47
312,113,49,5,468.57
313,113,50,8,730.77
314,114,129,10,322.1
315,114,157,10,395.61
316,114,88,10,488.87
317,114,45,10,354.66
318,114,137,7,374.73
319,115,127,7,147.2
320,115,51,4,162.0
321,116,80,4,69.82
322,117,69,3,616.21
323,117,7,9,228.8
324,118,126,4,195.43
325,118,178,2,600.16
326,118,193,4,633.23
327,118,122,4,736.6
328,118,89,1,808.7
329,119,65,5,631.33
330,119,66,8,33.24
331,119,114,5,955.67
332,119,151,1,392.75
333,120,129,10,322.1
334,120,100,5,100.68
335,120,174,10,96.84
336,120,135,5,183.42
337,121,193,3,633.23
338,121,192,4,204.39
339,121,97,1,773.42
340,121,94,7,875.57
341,122,51,4,162.0
342,122,68,2,431.14
343,122,165,3,572.48
344,122,77,3,584.03
345,122,60,9,606.98
346,123,27,5,985.11
347,123,191,9,43.37
348,123,36,5,426.42
349,124,157,4,395.61
350,124,164,1,293.92
351,125,172,8,197.09
352,125,188,1,715.03
353,125,146,2,258.81
354,125,99,8,349.46
355,126,59,1,976.26
356,126,189,3,751.1
357,127,144,3,475.66
358,127,157,2,395.61
359,127,137,5,374.73
